feature,importance
ratioThr23,15221
nClusters,10118
Thr3,9855
Density,6609
lambda2,6020
Zbary,6004
pctHitsFirst10,4954
Zrms,4431
Rmean,4236
nHitsTotal,3958
LayerMaxHits,3331
sumThrTotal,2995
Rskew,2784
RadiusThr3,2266
Radius,2073
nLayersThr3,2043
lambda1,1970
Rrms,1800
avgClustSize,1500
Begin,774
planesWithClusmore2,0
Thr3ShowerLength,0
maxClustSize,0
