feature,importance
ratioThr23,1888
nClusters,1306
Zrms,1243
Thr3,1235
Rskew,1218
Zbary,1193
Density,1129
pctHitsFirst10,1095
lambda2,1068
RadiusThr3,993
Radius,857
Rrms,838
lambda1,816
Rmean,779
sumThrTotal,752
LayerMaxHits,685
nHitsTotal,650
nLayersThr3,597
Begin,258
avgClustSize,0
Thr3ShowerLength,0
planesWithClusmore2,0
maxClustSize,0
