feature,importance
pctHitsFirst10,10465
ratioThr23,8101
Begin,6161
Zbary_thr2,5899
Zbary,4980
Thr3,4737
Zrms,4729
Radius,4689
LayerMaxHits,4063
nLayersThr3,3866
Zbary_thr3,3723
nClusters,3597
maxClustSize,3481
planesWithClusmore2,3344
Density,2712
Thr3ShowerLength,2439
nHitsTotal,2392
avgClustSize,2359
N2,2039
Rmean,1881
lambda2,1519
Rrms,1456
lambda1,1208
sumThrTotal,967
RadiusThr3,869
Rskew,861
N3,463
