run_id,comment
1,"rmse=9.5092, mae=5.9372, r2=0.9361, sigma/E=0.6487"
2,"rmse=9.5092, mae=5.9372, r2=0.9361, sigma/E=0.6487"
3,"rmse=9.5016, mae=5.9256, r2=0.9362, sigma/E=0.5027"
4,"rmse=9.5016, mae=5.9256, r2=0.9362, sigma/E=0.5027"
