run_id,comment
1,"rmse=9.3467, mae=5.8817, r2=0.9382, sigma/E=0.2920"
2,"rmse=9.3467, mae=5.8817, r2=0.9382, sigma/E=0.2920"
3,"rmse=9.4294, mae=5.8901, r2=0.9371, sigma/E=0.2547"
5,"rmse=9.4294, mae=5.8901, r2=0.9371, sigma/E=0.2547"
