run_id,comment
1,"rmse=7.9587, mae=5.1283, r2=0.9552, sigma/E=0.2023"
3,"rmse=8.0116, mae=5.1512, r2=0.9546, sigma/E=0.1864"
4,"rmse=8.0116, mae=5.1512, r2=0.9546, sigma/E=0.1864"
