feature,importance
Zbary,2026.0
Density,1934.0
Zrms,1705.0
sumThrTotal,1011.0
AvgClustSize,990.0
tMin,953.0
eccentricity3D,948.0
tMean,866.0
Thr3,786.0
lambda1,782.0
Nmax,775.0
Thr2,769.0
N3,690.0
lambda2,686.0
Radius,683.0
NClusters,596.0
MaxClustSize,592.0
tMax,586.0
Thr1,558.0
PlanesWithClusmore2,491.0
nHitsTotal,469.0
N1,445.0
N2,445.0
Begin,391.0
PctHitsFirst10,363.0
Xmax,305.0
tSpread,258.0
ratioThr23,253.0
z0_fit,229.0
nTrackSegments,52.0
lambda,35.0
