feature,importance
tMin,9805.0
Zbary,3239.0
Density,3136.0
Zrms,2857.0
sumThrTotal,2785.0
AvgClustSize,2569.0
Nmax,2535.0
N3,2462.0
PctHitsFirst10,2354.0
tMean,2255.0
Thr2,2205.0
tMax,2143.0
eccentricity3D,2018.0
MaxClustSize,2017.0
lambda1,2014.0
Radius,1841.0
lambda2,1822.0
NClusters,1807.0
Thr3,1723.0
N1,1673.0
Thr1,1655.0
Xmax,1646.0
N2,1601.0
PlanesWithClusmore2,1454.0
nHitsTotal,1339.0
ratioThr23,737.0
tSpread,620.0
Begin,498.0
z0_fit,387.0
nTrackSegments,133.0
lambda,48.0
