feature,perm_importance
sumThrTotal,0.020892325363455734
nhitDensity,0.005317319251968345
Density,0.002683752815500107
nMipCluster,0.0019365487488768984
Nmax,0.0017071788774460027
nHit3Custom,0.0016585072611696283
end,0.0015447339299736295
propLastLayers,0.0012071611065830102
Radius,0.0008942462749476742
density,0.0008372037573713964
Zbary,0.000693596590462775
meanRadius,0.0006887166352642637
PlanesWithClusmore2,0.0005056503645151534
reconstructedCosTheta,0.0004980822679450991
nCluster,0.00046166949550836557
N3,0.0003538570505108307
nHitCustom,0.00035382023023267095
tMean,0.0003232729431903447
nHit1Custom,0.0003131503082954179
nInteractingLayer,0.0002499742494312951
nHough1,0.00022233380922269673
tMax,0.00021183071482622218
eccentricity3D,0.00021078017703781703
PctHitsFirst10,0.0002019407308952559
N1,0.0001927920199400912
Begin,0.0001824273872353288
lambda2,0.00015918632329543493
Zrms,0.00015644241169816554
nHit2Custom,0.0001060012849706915
tSpread,0.00010120778967115385
transverseRatio,9.393942690234524e-05
Xmax,9.276695880608977e-05
tMin,7.432741837085644e-05
nTrack,6.98863324020138e-05
MaxClustSize,4.901613997936316e-05
first5LayersRMS,4.449734776503789e-05
NClusters,3.61333105500794e-05
nHough,3.0337104656119607e-05
nHitsTotal,2.8913288816090343e-05
ratioThr23,2.6482738744348922e-05
ntracksClusterNumber,9.761893496662566e-06
Thr2,9.539602343444641e-06
z0_fit,5.949343845879085e-06
lambda,3.846469348767201e-06
nHough3,3.803776045252505e-06
begin,3.5107849768678535e-06
nlongiProfile,0.0
nradiProfile,0.0
Thr1,-7.5464307780048754e-06
ntracksClusterSize,-2.0309289576703194e-05
nTrackSegments,-2.4408464563796527e-05
N2,-3.4744035356704114e-05
nHough2,-4.747294126214996e-05
nLayer,-8.92831622943735e-05
lambda1,-0.00040876171264074833
Thr3,-0.00046038844756277617
AvgClustSize,-0.0007772203131630739
