run_id,test_rmse,test_mae,test_r2,sigma_over_E
1,3.6306444653616823,1.5179367533016248,0.9906785585506251,0.38682754660771
2,3.6306444653616823,1.5179367533016248,0.9906785585506251,0.38682754660771
4,3.6306444653616823,1.5179367533016248,0.9906785585506251,0.38682754660771
5,3.6306444653616823,1.5179367533016248,0.9906785585506251,0.38682754660771
6,3.662508922377294,1.4912339961395225,0.9905142207382631,0.07432484201623413
7,8.332044192976301,5.248698376905739,0.9509070916736031,0.16098066559148747
8,3.662508922377294,1.4912339961395225,0.9905142207382631,0.07432484201623413
9,8.344978594805328,5.252999410138135,0.95075455281142,0.1621445959066285
10,8.344978594805328,5.252999410138135,0.95075455281142,0.1621445959066285
11,8.357508225445018,5.2467493265144975,0.9506065619023845,0.1612833170025864
12,8.025088506059845,5.120221066902735,0.9544576650507387,0.14778480798730065
13,8.357508225445018,5.2467493265144975,0.9506065619023845,0.1612833170025864
14,8.348458179192724,5.247355390646007,0.9507134767531185,0.16014770284195626
15,40.176161239531005,33.91534296509269,-0.18494635308055418,3.9264039409560105
16,8.523716195009257,5.107089831804499,0.9469233320905059,0.7574005437492182
17,8.362251906688185,5.006334230084617,0.9489151431327819,0.7525489647515231
18,8.251310957008783,4.893264093663516,0.9502616244963598,0.7517411258159707
19,8.251310957008776,4.893264093663493,0.9502616244963599,0.7517411258159716
20,10.750117062364245,6.195185586853164,0.9155748044140217,0.7821411892439473
21,8.775831562414446,5.255367254377829,0.9437370827625677,0.7820444576175977
22,8.775831562414446,5.255367254377829,0.9437370827625677,0.7820444576175977
23,8.37900632898276,4.997675777613465,0.9496885581383747,0.7007806331254408
24,8.822335283058594,5.258259704624949,0.944223810085253,0.7098909294938807
