feature,importance
tMin,36847
NClusters,15952
PctHitsFirst10,12262
MaxClustSize,9988
AvgClustSize,9969
PlanesWithClusmore2,9298
Radius,8778
Density,8688
Begin,8399
Zrms,8313
Zbary_thr2,8191
Zbary_thr3,7799
Thr3,6995
Zbary,6150
Thr2,5749
Thr1,5481
tMean,5435
tMax,4824
ratioThr23,4359
tSpread,2523
