feature,importance
tMin,14111.0
Zbary,4642.0
PctHitsFirst10,4227.0
Density,4225.0
Zrms,4038.0
sumThrTotal,3926.0
AvgClustSize,3374.0
tMax,3258.0
tMean,3257.0
N3,3234.0
Nmax,3139.0
eccentricity3D,3128.0
Radius,3066.0
lambda1,3001.0
Thr2,2999.0
lambda2,2847.0
MaxClustSize,2772.0
NClusters,2626.0
Xmax,2572.0
Thr1,2517.0
N1,2491.0
Thr3,2425.0
N2,2369.0
PlanesWithClusmore2,2232.0
nHitsTotal,2033.0
ratioThr23,1070.0
tSpread,806.0
Begin,495.0
z0_fit,384.0
nTrackSegments,277.0
lambda,61.0
