feature,perm_importance
sumThrTotal,0.017843382002139353
nhitDensity,0.00492872012169201
Density,0.0021585760381067852
nMipCluster,0.0019159970474242449
end,0.0009573053556878542
Nmax,0.0009049742712877063
propLastLayers,0.0008688465477620699
nHit3Custom,0.0007820688166366274
meanRadius,0.0005893216483048302
PctHitsFirst10,0.0004601096936619253
density,0.0004297232139886198
nHit2Custom,0.00040312733022918046
transverseRatio,0.0003745162856473083
lambda1,0.00033739520625961637
eccentricity3D,0.0003365562261763433
nHitCustom,0.0003357061286228369
reconstructedCosTheta,0.00025514398924997295
nHough1,0.00020788189097813435
nCluster,0.0002054858984070318
Thr1,0.00020214261608515472
N3,0.0001853220648753151
Zbary,0.00018246071650072083
tMean,0.00015292091281540187
Radius,0.00014677886765186444
Zrms,0.00014309026527752343
nHough,0.00013702745876345012
lambda2,0.00013355469791327402
Xmax,0.00013287089692188837
PlanesWithClusmore2,0.00011934132310114088
ratioThr23,0.00011099427693053165
Begin,0.00010178025056615248
MaxClustSize,9.49341599232767e-05
first5LayersRMS,9.337787071168613e-05
tMax,7.883643323141065e-05
Thr2,4.1026245240205486e-05
NClusters,3.3310696620647565e-05
tSpread,1.958011192533249e-05
nHitsTotal,1.4936051687142182e-05
z0_fit,9.468917135269095e-06
ntracksClusterNumber,6.880943796527816e-06
nTrackSegments,5.350599599651673e-06
nTrack,2.9943995247805333e-06
nlongiProfile,0.0
nradiProfile,0.0
begin,-8.80549541548703e-07
lambda,-7.364896866324244e-06
N2,-1.3227637321522322e-05
nHough3,-2.0915497630236147e-05
N1,-4.618643632818831e-05
nHough2,-4.9898829291672445e-05
Thr3,-0.0001757975727393557
nInteractingLayer,-0.00018961516853450712
nLayer,-0.00023508211731546603
ntracksClusterSize,-0.00026361502224183655
nHit1Custom,-0.00031416139247548714
AvgClustSize,-0.0010686434759751505
tMin,-0.0016071340042919323
